,TP,FP,FN,TN,TPR_mean,PPV_mean,ACC_mean,F1,MCC,ROC_AUC,PR_AUC,PRG_AUC,cutoff
ML__exclude_hospital,103,677,79,3055,0.5659340659340659,0.13205128205128205,0.8068472151251916,0.21413721413721415,0.202693552418575,0.7584699598365194,0.16272705496488607,0.870461156851539,0.7274042655125832
ML__exclude_hospital__no_FL,86,695,96,3037,0.4725274725274725,0.11011523687580026,0.7979049565661727,0.17860851505711317,0.1508420833978059,0.7070082918153657,0.11759800347735197,0.7273105817915747,0.06078830792879516
LR__exclude_hospital,99,679,83,3053,0.5439560439560439,0.12724935732647816,0.805314256515074,0.20625000000000002,0.19101018707114367,0.7427564397017773,0.1481365132645644,0.8511018312682691,0.07625190094752132
ML__top_10,99,681,83,3051,0.5439560439560439,0.12692307692307692,0.8048032703117016,0.20582120582120578,0.19054351812576306,0.7437671519263158,0.13312174854382763,0.7974777352235186,0.6831873830841417
ML__top_10__no_FL,78,703,104,3029,0.42857142857142855,0.0998719590268886,0.7938170669391926,0.16199376947040497,0.126553701527044,0.7021034297963559,0.10225081578221715,0.6903281058107475,0.10539087408845534
LR__top_10,95,680,87,3052,0.521978021978022,0.12258064516129032,0.8040367910066428,0.1985370950888192,0.1795333556675941,0.7342761739867849,0.132046653854979,0.8034751334494655,0.0797402760633211
ML__exclude_hospital__exclude_age,89,690,93,3042,0.489010989010989,0.11424903722721438,0.7999489013796628,0.18522372528616024,0.16038695111762746,0.7165957033320377,0.1282954082783396,0.801177211287466,0.6777762169254861
ML__exclude_hospital__exclude_age__no_FL,81,697,101,3035,0.44505494505494503,0.10411311053984576,0.7961165048543689,0.16875,0.1362822611712038,0.6966773847802787,0.09910368420532711,0.6672101655697578,0.3966877663162462
only_age,87,677,95,3055,0.47802197802197804,0.11387434554973822,0.8027593254982115,0.1839323467230444,0.1575802984661685,0.6970402989293665,0.12143859151736319,0.7588095126167506,0.7767767767767767
